Train_ID,Train_Name,Section,Start_Time,End_Time,Train_Type
TR101,Rajdhani Exp,Section_AB,06:00,06:30,Express
TR102,Shatabdi Exp,Section_AB,07:30,08:00,Express
TR103,Goods Train 1,Section_AB,08:15,08:45,Freight
TR104,Passenger 1,Section_AB,11:30,12:00,Passenger
TR105,Vande Bharat,Section_AB,12:30,13:00,Express
TR106,Duronto Exp,Section_AB,14:00,14:30,Express
TR107,Local Train 1,Section_AB,15:15,15:45,Passenger
TR108,Goods Train 2,Section_AB,16:30,17:15,Freight
TR109,Rajdhani Exp,Section_AB,18:00,18:30,Express
TR110,Night Mail,Section_AB,21:00,21:30,Express
